노출상품ID,option_int,옵션명,상품타입,카테고리,아이템위너 비율(%),순 판매 금액(전체 거래 금액 - 취소 금액),순 판매 상품 수(전체 거래 상품 수 - 취소 상품 수),전체 거래 금액,전체 거래 상품 수,총 취소 금액,총 취소 상품 수,즉시 취소 상품 수,reg_date,account
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,417000,3,417000,3,0,0,0,2023-02-27,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-27,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-28,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-28,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,834000,6,834000,6,0,0,0,2023-02-28,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-01,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,59500,1,59500,1,0,0,0,2023-03-01,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,1807000,13,2085000,15,278000,2,0,2023-03-01,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-01,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-02,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-02,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,1529000,11,1529000,11,0,0,0,2023-03-02,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-02,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-03,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-03,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,695000,5,973000,7,278000,2,0,2023-03-03,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-04,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-04,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,1390000,10,1390000,10,0,0,0,2023-03-04,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-05,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-05,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,1251000,9,1251000,9,0,0,0,2023-03-05,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,0.0%,78000,2,78000,2,0,0,0,2023-03-06,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-06,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,30.3%,1807000,13,1807000,13,0,0,0,2023-03-06,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-06,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-06,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-07,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-07,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-07,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-07,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,21.1%,0,0,0,0,0,0,0,2023-03-08,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,8.0%,119000,2,119000,2,0,0,0,2023-03-08,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-08,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,3.3%,0,0,0,0,0,0,0,2023-03-08,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,77.3%,39000,1,39000,1,0,0,0,2023-03-09,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,94.4%,0,0,0,0,0,0,0,2023-03-09,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.8%,139000,1,139000,1,0,0,0,2023-03-09,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,33.3%,0,0,0,0,0,0,0,2023-03-09,A00350733
